Item,Condition,Familiarity,Compositionality,Predictability,Register,Spelling,Pin_yin,Ur_Pinyin,Fig_Transl,Lit_Transl,Last_char,Strokes,StrokeDiff,Sem_Distance,Levenshtein_Distance
1,corr,4711,4.646,1,0.407,一心一意,yi1 xin1 yi1 yi4,yī xīn yī yì,Wholeheartedly,one heart one mind,意,13,NA,NA,0.0
1,diffT,4711,NA,1,NA,一心一疑,yi1 xin1 yi1 yi2,NA,NA,one heart one doubt,疑,14,-1.0,0.385139882564545,0.7
1,sameT,4711,NA,1,NA,一心一裔,yi1 xin1 yi1 yi4,NA,NA,one heart one posterity/descendants,裔,13,0.0,0.636198043823242,0.5555555555555556
1,noP,4711,NA,1,NA,一心一廉,yi1 xin1 yi1 lian2,NA,NA,one heart one honest,廉,13,0.0,0.5810637176036835,0.5714285714285714
2,corr,4735,4.333,692,0.407,不知不觉,bu4 zhi1 bu4 jue2,bù zhī bù jué,Without realizing,not know not notice,觉,9,NA,NA,0.0
2,diffT,4735,NA,692,NA,不知不绝,bu4 zhi1 bu4 jue4,NA,NA,not know not break,绝,9,0.0,0.57639616727829,1.0
2,sameT,4735,NA,692,NA,不知不珏,bu4 zhi1 bu4 jue2,NA,NA,not know not jade,珏,9,0.0,0.583285331726074,1.0
2,noP,4735,NA,692,NA,不知不药,bu4 zhi1 bu4 yao4,NA,NA,not know not medicine,药,9,0.0,0.6341704428195953,1.0
3,corr,4574,4.373,1,0.704,全心全意,quan2 xin1 quan2 yi4,quán xīn quán yì,With great purpose,all heart all mind,意,13,NA,NA,0.0
3,diffT,4574,NA,1,NA,全心全疑,quan2 xin1 quan2 yi2,NA,NA,all heart all doubt,疑,14,-1.0,0.378058791160583,0.7
3,sameT,4574,NA,1,NA,全心全裔,quan2 xin1 quan2 yi4,NA,NA,all heart all posterity/descendants,裔,13,0.0,0.639594376087189,0.5555555555555556
3,noP,4574,NA,1,NA,全心全廉,quan2 xin1 quan2 lian2,NA,NA,all heart all honest,廉,13,0.0,0.5810637176036835,0.5714285714285714
4,corr,493,4.246,1,0.815,再接再厉,zai4 jie1 zai4 li4,zài jiē zài lì,To persevere,again continue again dedicate,厉,5,NA,NA,0.0
4,diffT,493,NA,1,NA,再接再礼,zai4 jie1 zai4 li3,NA,NA,again continue again gift,礼,5,0.0,0.784063398838043,1.0
4,sameT,493,NA,1,NA,再接再立,zai4 jie1 zai4 li4,NA,NA,again continue again stand,立,5,0.0,0.710692048072815,0.5
4,noP,493,NA,1,NA,再接再史,zai4 jie1 zai4 shi3,NA,NA,again continue again history,史,5,0.0,0.6605317294597626,1.0
5,corr,463,4.784,1,0.704,冰天雪地,bing1 tian1 xue3 di4,bīng tiān xuě dì,Very cold,ice sky snow earth,地,6,NA,NA,0.0
5,diffT,463,NA,1,NA,冰天雪邸,bing1 tian1 xue3 di3,NA,NA,ice sky snow residence,邸,7,-1.0,0.605431318283081,0.6
5,sameT,463,NA,1,NA,冰天雪弟,bing1 tian1 xue3 di4,NA,NA,ice sky snow little brother,弟,7,-1.0,0.50305187702179,0.8333333333333334
5,noP,463,NA,1,NA,冰天雪合,bing1 tian1 xue3 he2,NA,NA,ice sky snow together,合,6,0.0,0.6929682791233063,0.6
6,corr,467,4.293,1,0.815,千方百计,qian1 fang1 bai3 ji4,qiān fāng bǎi jì,Try everything,thousand methods hundred plans,计,4,NA,NA,0.0
